,social_issues,politics_and_renewables,progressive_politics,food_agriculture,political_ecology,radical_chic,sustainable_industry
836950598889189380,0.0003441345730652128,0.00023993277147030706,0.00031788132047336735,0.0002015927558646176,0.0003342268178811498,0.00021261277307718746,0.00020991462417037926
836950601774702592,0.0018519536903176385,0.0008448660108825776,0.00010158261065620546,5.497534489737539e-05,0.0015952508944999102,6.993100847119226e-05,0.00024096596152710904
836950608913530880,0.0003935309103168066,0.00017953011720557276,2.1585235554376356e-05,1.1683070377780897e-05,0.0003389837299156387,1.4858876045920172e-05,5.120307687897467e-05
836950619437023237,0.0007112775614456194,0.00041926540864282996,6.303515709454887e-05,3.232168180918915e-05,0.00041998195236483667,4.4423498581261195e-05,0.00029269294561736473
836950625795493889,0.0003935309103168066,0.00017953011720557276,2.1585235554376356e-05,1.1683070377780897e-05,0.0003389837299156387,1.4858876045920172e-05,5.120307687897467e-05
836950628303790082,0.0002635897304400248,0.00024873435525213616,0.00037078210864230083,0.0003826520079387959,4.829555495526516e-05,0.00048238465241272766,0.0004419298200947294
836950634582654976,0.0002909268237800091,0.0006836364698589042,0.0006387337467976719,0.0005054873104196381,0.000393699965824434,0.0006746010859073097,0.0006175580400012026
836950645051703296,0.0001236283840805038,0.000290532931165206,0.0002714449954389649,0.00021481876551250514,0.00016730333379432697,0.00028669199887558256,0.0002624426451211253
836950648197382144,0.0002635897304400248,0.00024873435525213616,0.00037078210864230083,0.0003826520079387959,4.829555495526516e-05,0.00048238465241272766,0.0004419298200947294
836950650051313665,0.0009700640519491939,0.00046523773063689134,0.0005673146862657843,0.0021567602826892047,0.0016646662632391767,0.0012024111065713084,0.0005509499237097346
836950652186087424,0.00020611555623622878,9.884473879073753e-05,0.00012052698450380089,0.0004582926150767688,0.0003537122281499227,0.0002554925886969899,0.00011704881837082673
836950658079154176,0.00020611555623622878,9.884473879073753e-05,0.00012052698450380089,0.0004582926150767688,0.0003537122281499227,0.0002554925886969899,0.00011704881837082673
836950658703974400,0.000511264581303701,0.0007944655407776895,0.001645593952217238,0.0028208406076884874,0.0011103887285382938,0.0005767562019321753,0.0012740890622876752
836950679159721984,0.0006519646075871826,8.910165492347712e-05,2.9816430124409455e-05,0.0007525372660311665,1.3280778977099808e-05,8.875322609930243e-05,0.00012561535250888337
836950724122710016,0.0009407130728002733,0.0009440574891601576,0.0005310625811621622,0.0009072732500949161,0.0005174390205279488,0.0007731997620245791,0.0006491712705691704
836950727599788035,0.0018555418762933053,0.001103735424615347,0.0005916749382969118,0.0007636610684422394,0.0014275918920443424,0.0008889512633937719,0.0010122062441534033
836950737502494720,0.0006231138756649176,0.00037789743355599875,1.953921422772422e-05,0.00036018385983985413,1.984360303424901e-05,4.091796813338939e-05,4.266470582137251e-05
836950753520427008,0.00029962533075133954,0.00018284257148462246,0.000487519631980181,0.00010541093192907954,0.0001446139314259644,0.00014587190401712727,0.001365287097290385
836950839101116421,0.00019152097770562575,6.378618909936376e-05,0.00019751700466601071,0.00011129535406415934,0.00016271055161947047,0.00011491530538213273,9.378836587474068e-05
836950847380668416,0.0002635897304400248,0.00024873435525213616,0.00037078210864230083,0.0003826520079387959,4.829555495526516e-05,0.00048238465241272766,0.0004419298200947294
836950869639835649,0.0012994761328086594,0.005591923251623788,0.0002000073008679552,0.00019701055157386963,0.0011504437574825883,0.0003108576650702744,0.0010809607739671922
836950882528989184,0.0002761283056601311,0.0011882760863932062,4.249126710637306e-05,4.185831934067393e-05,0.00024445517986533294,6.604875173265879e-05,0.0002296946975727365
836950901495631872,0.0004322934964768211,0.001860312912281075,6.652517697282273e-05,6.553386728778264e-05,0.00038269976370161547,0.00010340322138741061,0.00035959808465663054
837179239367487488,0.0018431167423169012,0.0007309876034836498,0.0014532742635200934,0.0005448703245761584,0.0005670870195594694,0.0037527159860344943,0.0008295774418450435
837179262918606848,0.001044397291619091,0.0004141975386555898,0.0008234818886570124,0.0003087300164719193,0.0003213034920979635,0.0021265087367204148,0.0004700527225686989
