,politics_and_renewables,nature,food_agriculture,developement_goals,endangered_habitats,innovation,vegan
969135560269934592,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135572089483264,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135582483046401,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135586845044736,0.0002748526048493307,0.00038355290189545215,0.0002560708165539229,0.003636433432974084,0.00020668284993760052,0.0002548423030209557,0.00016518503180186207
969135590536024064,0.0050738717854947255,0.008918894588590113,0.00785784936127122,0.0048737729502711475,0.0019935328103763733,0.005858177568503114,0.006824480025604569
969135591706316800,0.0007187074118142727,0.0012632814532409172,0.0011131732692088738,0.0006904199645761188,0.0002824065499551041,0.0008298071678239853,0.0009660913571839713
969135607871045632,0.0012709939064053238,0.00032640106243682967,0.0003804910971825355,0.0011800382317499016,0.00022740128078104386,0.001362359802849713,0.000218736070042238
969135639756181504,0.0027231442888330853,0.0010884202840371242,0.0025075344972345396,0.0018197456070816766,0.001027362321182348,0.0011612212331901135,0.0009495996683996847
969135652615974915,0.000578014145163343,0.00023062136759314155,0.0005327999331913431,0.0003860472682541866,0.0002176566343726124,0.0002461189075892404,0.00020084271046652842
969135711537344512,0.000578014145163343,0.00023062136759314155,0.0005327999331913431,0.0003860472682541866,0.0002176566343726124,0.0002461189075892404,0.00020084271046652842
969135713752055809,0.000778430839906129,0.0010489381649533293,0.005404365245893839,0.0006383029782007326,0.03718285632377686,0.016022975883009122,0.024558599272009082
969135727039664128,0.0002203235665639381,0.0002969633444389882,0.0015311941093532598,0.0001806131112922979,0.010534880299776658,0.004539585482439623,0.006956678246515336
969135747612729345,0.0003041239975268186,0.0002691545353809959,0.0002586015306465372,0.00024359099405026847,0.0002390754310151982,0.00029871201582058396,0.00020689894405858503
969135751467356160,0.0006843354472380816,0.0006050620285706611,0.0005829168819864723,0.0005500913174651442,0.0005380261131536495,0.0006747878072563797,0.0004659273592636007
969135759080017920,0.00012956396791424506,0.00011431061657588889,0.00010990257879498979,0.00010440028376245366,0.00010194801049808708,0.00012788619286910888,8.834964814221387e-05
969135785495728128,0.0006543191688804388,0.0031082823664039558,0.0018249955440640445,0.002994698397484545,0.0015303763282587086,0.0005393064972780571,0.0005549140867487492
969135823860924416,0.008575349317742516,0.003874400962493028,0.004758165799399438,0.009320266379450956,0.005646817589989287,0.010787008678461964,0.06267511905181009
969135900444839937,0.0050746469567455104,0.001556408945426416,0.0030510808022200533,0.003100534965759265,0.002178684682374003,0.0025505930591665964,0.0020266017135054425
969135910913806336,0.0010777017625007,0.00033007305180081874,0.0006483064535521824,0.0006583528400573502,0.0004623711100138325,0.0005414528670200184,0.00042978600061743984
969135938717782016,0.00019396997927183097,0.0001716991168146738,0.00016517562993092444,0.00015545723746221082,0.00015246183992970665,0.00019071947066471318,0.00013196936919800196
969135940563357698,0.00061229385893008,0.0004288423448049441,0.0010952766108005114,0.0004675688750922207,0.002576698344288783,0.0003008136545059158,0.003545254513650888
