created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Mon Jun 25 17:38:59 +0000 2018,1011302748921434114,"RT @unwomenafrica: .@UN_Women visiting REFAN a #women association supported in the rice value chain with over 10,000 members in #Senegal. #…",False,,,,0,,,,en
Mon Jun 25 17:36:37 +0000 2018,1011302153099579395,"RT @IMOHQ: Seafarers are the unsung heroes of shipping, the industry on which everyone, everywhere relies for the goods we all need and wan…",False,,,,0,,,,en
Mon Jun 25 16:35:10 +0000 2018,1011286691850674176,"""I realized I was not alone.""

Through therapy groups, we help South Sudanese refugee women come together, heal &amp; discover new beginnings in Uganda:
https://t.co/jHitIizvnC",True,,,,58,,,,en
Mon Jun 25 16:35:10 +0000 2018,1011286691850674176,"""I realized I was not alone.""

Through therapy groups, we help South Sudanese refugee women come together, heal &amp; discover new beginnings in Uganda:
https://t.co/jHitIizvnC",True,,,,58,,,,en
Mon Jun 25 16:35:10 +0000 2018,1011286691850674176,"""I realized I was not alone.""

Through therapy groups, we help South Sudanese refugee women come together, heal &amp; discover new beginnings in Uganda:
https://t.co/jHitIizvnC",True,,,,58,,,,en
Mon Jun 25 14:51:00 +0000 2018,1011260474405670912,"RT @Refugees: 📚 Refugee girls are only 50% as likely to go to secondary level as boys. 
♀ It’s time to change this. It’s #HerTurn. 
#TimeIs…",False,,,,0,,,,en
Mon Jun 25 14:32:41 +0000 2018,1011255866098683909,"RT @ilo: When women do find employment, they are less likely to get a stable paid job than their male counterparts. Find out what vulnerabl…",False,,,,0,,,,en
Mon Jun 25 13:35:10 +0000 2018,1011241394059513856,"When did the word become so negative?

Be a feminist, be proud.

#MondayMotivation https://t.co/QF2UCCv9Uu",False,,,,1235,,,,en
Mon Jun 25 12:09:43 +0000 2018,1011219888025821186,"RT @UN: ""We need women as role models."" -- @UNPeacekeeping Mission in Cyprus Senior Police Advisor. Watch her interview from #UNCOPS ➡️ htt…",False,,,,0,,,,en
Mon Jun 25 10:35:06 +0000 2018,1011196076529942529,"In Gaza, women &amp; girls, who already face gender-based violence &amp; discriminations, have to contend w/ compounded challenges, including disabilities, trauma, lack of jobs &amp; mobility. 
https://t.co/knxbPJI3M5",True,,,,115,,,,en
